Designator,Description,Quantity per Unit,Supplier,Supplier Part Number,Mfg Part Number,Alternate Part
R6,RES 3.3K,1,Mouser,660-MF1/4DCT52R3301F,MF1/4DCT52R3301F,
"R7,R8,R9",RES 4.7K,3,Mouser,660-MF1/4DCT52R4701F,MF1/4DCT52R4701F,
U3,CD4066N,1,Mouser,595-CD4066BE,CD4066BE,
"TR1,TR2",42TL004,2,Mouser,42TL004-RC,42TL004-RC,
"C6,C7",CAP 470uF 16V,2,Mouser,647-UHE1E471MPD,UHE1E471MPD,
R13,RES 47K,1,Mouser,660-MF1/4DCT52R4702F,MF1/4DCT52R4702F,
U13,VREG 7805T,1,Mouser,511-L7805CV,L7805CV,511-L7805ACP
"U11,U12",VREG 7809TV,2,Mouser,511-L7809CV,L7809CV,
XTAL1,8MHZ XTAL HC-49S ,1,Mouser,717-9B-8.000MEEJ-B,9B-8.000MEEJ-B,
U1,ATMEGA 16P,1,Mouser,556-ATMEGA16A-PU,ATMEGA16A-PU,556-ATMEGA16L-8PU                 ELSE SEE DIGIKEY ON NONMOUSER
LCD1,LCD HD44780LCD-1602,1,Mouser,763-0216K1Z-NSW-BBW,NHD-0216K1Z-NSW-FBW-L,763-0216K1Z-NSW-FBW
"Q3,Q6",MOSFET IRF9Z24,2,Mouser,942-IRF9Z24NPBF,IRF9Z24NPBF,
"Q1,Q2,Q4,Q5",MOSFET IRL520N,4,Mouser,942-IRL520NPBF,IRL520NPBF,
JP1,ISP 6 PIN,1,Mouser,571-5-146254-3,5-146254-3,
U14,LM2941,1,Mouser,926-LM2941CT/NOPB,LM2941CT/NOPB,
U2,LM324N,1,Mouser,595-LM324NE3,LM324NE3,595-LM324N
"U10,U4",LM358N,2,Mouser,512-LM358N,LM358N,
U8A,MAX548 (For V1.5 and below firmware) suggest using LTC1661 purchased from Digikey (see end of sheet),0,Mouser,700-MAX548ACPA,MAX548ACPA+,
"LED1,LED2,LED3,LED4",5MM LED,4,Mouser,606-4304H1,4304H1,
U9,MAX232,1,Mouser,700-MAX232CPE,MAX232CPE,
"SOCKET FOR U2,U3",DIL 14 IC SOCKET,2,Mouser,517-4814-3004-CP,4814-3004-CP,
SOCKET FOR U9,DIL 16 IC SOCKET,1,Mouser,517-4816-3004-CP,4816-3004-CP,
SOCKET FOR U1,DIL 40 IC SOCKET,1,Mouser,575-11041640410010,110-41-640-41-001000,
"SOCKET FOR U10,U4,U8(A/B)",DIL 8 IC SOCKET,4,Mouser,571-1-2199298-2,1-2199298-2,
"JP6,JP7",2x1 SIP HEADER 0.1,2,Mouser,571-5-146285-2,5-146285-2,
"VR1, VR2",ALPS 9mm 10K Pot,2,Mouser,688-RK09L1140A2U,RK09L1140A2U,
VR3,ALPS 9mm 10K Dual Gang Pot,1,Mouser,688-RK09L1240A12,RK09L1240A12,
VR4,Bourns 3362P 10K Pot,1,Mouser,3362P-1-103LF,3362P-1-103LF,
"S1,S2,S3,S4",Buttons,4,Mouser,611-D6C90F2LFS,D6C90 F2 LFS,
"J2,J3,J4,J5,J6,J7",3.5mm stereo jack,6,Mouser,806-STX-3100-5NB,STX-3100-5NB,
J8,2.1/5.5mm DC jack,1,Mouser,490-PJ-002A,PJ-002A,
S5,Toggle Switch with safety actuator,1,Mouser,611-7101K2AV2BE,7101K2AV2BE,611-7101K2AV2QE
J9,Radio Header,1,Mouser,538-90147-1206,90147-1206,
Gray button covers,Button Cover,2,Mouser,611-BTND610F,BTND610F,611-BTND690F
White button covers,Button Cover,2,Mouser,611-BTND600F,BTN D6 00 F,
LCD HEADER,LCD Header,1,Mouser,710-61301611121,61301611121,
Knob,Potentiometer Knob,3,Mouser,450-BA761,BA761,
BAT1,Lead Acid Battery,1,Mouser,547-PS-1220,PS-1220,
BAT1 Lugs,Crimp Lubs for BAT1,2,Mouser,534-8291,534-8291,
Power Supply,"18V, 1A .5.5mm OD plug",1,Mouser,709-GST18U18-P1J,GST18U18-P1J,709-GST25U15-P1J
